TIPO_MODULO;ANO_MES_REF;ACAO;ID;ATRIBUTO;NOVO_VALOR
RECEITAS;2023-12;ALTERACAO;665266;CONTRATO DE GESTAO PARTE FIXA;345
RECEITAS;2023-12;ALTERACAO;665266;REPASSE CONTRATO DE GESTAO PARTE VARIAVEL 1;768,20
RECEITAS;2023-12;ALTERACAO;665266;REPASSE CONTRATO DE GESTAO PARTE VARIAVEL 2;346.567
RECEITAS;2023-12;ALTERACAO;665266;REPASSE CONTRATO DE GESTAO PARTE VARIAVEL 3;567,10
RECEITAS;2023-12;ALTERACAO;665266;TERMO ADITIVO ADICIONAL CUSTEIO;45764657,60
RECEITAS;2023-12;ALTERACAO;665266;TERMO ADITIVO ADICIONAL INVESTIMENTO;23.556,50
RECEITAS;2023-12;ALTERACAO;665266;RESULTADO DE APLICACAO FINANCEIRA;-100
RECEITAS;2023-12;ALTERACAO;665266;ESTORNO DE DESPESAS;234.523,10
RECEITAS;2023-12;ALTERACAO;665266;OBTENCAO DE RECURSOS EXTERNOS;964
RECEITAS;2023-12;ALTERACAO;665266;RETORNO DE EMPRESTIMO REALIZADO A OUTRO CONTRATO;568.435,20
RECEITAS;2023-12;ALTERACAO;665266;EMPRESTIMO TOMADO DE OUTRO CONTRATO;4505
RECEITAS;2023-12;ALTERACAO;665266;TRANSFERENCIAS ENTRE CONTAS DE PROVISIONAMENTO E EXECUCAO;8.657
RECEITAS;2023-12;ALTERACAO;665266;TRANSFERENCIA DE PROVISIONAMENTO DE COLABORADORES ORIUNDOS DE OUTRO CONTRATO E OU UNIDADE;1.257
