TIPO_MODULO;ANO_MES_REF;ACAO;ID;ATRIBUTO;NOVO_VALOR
DESPESAS;2023-11;ALTERACAO;587393;DESCRICAO;
DESPESAS;2023-11;ALTERACAO;587394;UNIDADE;
DESPESAS;2023-11;ALTERACAO;587395;RAZAO SOCIAL;
DESPESAS;2023-11;ALTERACAO;587396;CNPJ;
DESPESAS;2023-11;ALTERACAO;587397;NOME;
DESPESAS;2023-11;ALTERACAO;587398;CPF;
DESPESAS;2023-11;ALTERACAO;587399;DESPESA;
DESPESAS;2023-11;ALTERACAO;587400;RUBRICA;
DESPESAS;2023-11;ALTERACAO;587401;TIPO DE DOCUMENTO;
DESPESAS;2023-11;ALTERACAO;587402;VALOR DO DOCUMENTO;
DESPESAS;2023-11;ALTERACAO;587403;VALOR PAGO;
DESPESAS;2023-11;ALTERACAO;587404;CONTA CORRENTE;
DESPESAS;2023-11;ALTERACAO;587405;IDENTIFICADOR BANCARIO;
DESPESAS;2023-11;ALTERACAO;587406;CODIGO BANCARIO;
DESPESAS;2023-11;ALTERACAO;587407;PARCELA PAGA;
DESPESAS;2023-11;ALTERACAO;587408;NUMERO DE PARCELAS;
DESPESAS;2023-11;ALTERACAO;587409;DATA DE VENCIMENTO;
DESPESAS;2023-11;ALTERACAO;587410;DATA DE EMISSAO;
DESPESAS;2023-11;ALTERACAO;587411;DATA DE PAGAMENTO;
DESPESAS;2023-11;ALTERACAO;587412;DATA DE APURACAO;
DESPESAS;2023-11;ALTERACAO;587413;NUMERO DO DOCUMENTO;
DESPESAS;2023-11;ALTERACAO;587414;SERIE;
DESPESAS;2023-11;ALTERACAO;587415;CODIGO FISCAL;
DESPESAS;2023-11;ALTERACAO;587416;ANO MES REFERENCIA;
